0.000000,0.000,
0.016683,0.355
0.033367,0.116
0.050050,0.018
0.066733,0.057
0.083417,0.003
0.100100,0.008
0.116783,0.006
0.133467,0.013
0.150150,0.001
0.166833,0.009
0.183517,0.000
0.200200,0.009
0.216883,0.011
0.233567,0.003
0.250250,0.019
0.266933,0.002
0.283617,0.014
0.300300,0.002
0.316983,0.010
0.333667,0.018
0.350350,0.017
0.367033,0.012
0.383717,0.012
0.400400,0.004
0.417083,0.006
0.433767,0.014
0.450450,0.001
0.467133,0.007
0.483817,0.016
0.500500,0.004
0.517183,0.029
0.533867,0.000
0.550550,0.040
0.567233,0.029
0.583917,0.050
0.600600,0.060
0.617283,0.059
0.633967,0.049
0.650650,0.051
0.667333,0.019
0.684017,0.023
0.700700,0.011
0.717383,0.004
0.734067,0.004
0.750750,0.001
0.767433,0.005
0.784117,0.022
0.800800,0.031
0.817483,0.024
0.834167,0.035
0.850850,0.006
0.867533,0.013
0.884217,0.008
0.900900,0.021
0.917583,0.001
0.934267,0.005
0.950950,0.030
0.967633,0.024
0.984317,0.002
1.001000,0.041
1.017683,0.063
1.034367,0.059
1.051050,0.041
1.067733,0.046
1.084417,0.031
1.101100,0.032
1.117783,0.021
1.134467,0.009
1.151150,0.014
1.167833,0.015
1.184517,0.010
1.201200,0.023
1.217883,0.015
1.234567,0.009
1.251250,0.010
1.267933,0.019
1.284617,0.030
1.301300,0.039
1.317983,0.028
1.334667,0.021
1.351350,0.019
1.368033,0.010
1.384717,0.040
1.401400,0.051
1.418083,0.075
1.434767,0.074
1.451450,0.068
1.468133,0.046
1.484817,0.046
1.501500,0.024
1.518183,0.035
1.534867,0.021
1.551550,0.015
1.568233,0.017
1.584917,0.032
1.601600,0.039
1.618283,0.024
1.634967,0.020
1.651650,0.001
1.668333,0.009
1.685017,0.001
1.701700,0.010
1.718383,0.007
1.735067,0.011
1.751750,0.009
1.768433,0.021
1.785117,0.018
1.801800,0.022
1.818483,0.002
1.835167,0.004
1.851850,0.028
1.868533,0.005
1.885217,0.019
1.901900,0.004
1.918583,0.023
1.935267,0.022
1.951950,0.029
1.968633,0.025
1.985317,0.018
2.002000,0.006
2.018683,0.021
2.035367,0.038
2.052050,0.068
2.068733,0.065
2.085417,0.069
2.102100,0.047
2.118783,0.013
2.135467,0.008
2.152150,0.028
2.168833,0.031
2.185517,0.012
2.202200,0.020
2.218883,0.016
2.235567,0.009
2.252250,0.007
2.268933,0.010
2.285617,0.015
2.302300,0.009
2.318983,0.032
2.335667,0.056
2.352350,0.046
2.369033,0.035
2.385717,0.012
2.402400,0.019
2.419083,0.040
2.435767,0.055
2.452450,0.019
2.469133,0.034
2.485817,0.026
2.502500,0.000
2.519183,0.000
2.535867,0.004
2.552550,0.051
2.569233,0.065
2.585917,0.069
2.602600,0.084
2.619283,0.077
2.635967,0.059
2.652650,0.045
2.669333,0.029
2.686017,0.021
2.702700,0.000
2.719383,0.002
2.736067,0.003
2.752750,0.013
2.769433,0.018
2.786117,0.033
2.802800,0.027
2.819483,0.032
2.836167,0.033
2.852850,0.033
2.869533,0.030
2.886217,0.037
2.902900,0.017
2.919583,0.016
2.936267,0.003
2.952950,0.021
2.969633,0.018
2.986317,0.015
3.003000,0.002
3.019683,0.014
3.036367,0.035
3.053050,0.030
3.069733,0.035
3.086417,0.047
3.103100,0.036
3.119783,0.043
3.136467,0.006
3.153150,0.015
3.169833,0.017
3.186517,0.049
3.203200,0.043
3.219883,0.049
3.236567,0.034
3.253250,0.044
3.269933,0.056
3.286617,0.035
3.303300,0.032
3.319983,0.009
3.336667,0.072
3.353350,0.091
3.370033,0.119
3.386717,0.103
3.403400,0.059
3.420083,0.006
3.436767,0.045
3.453450,0.065
3.470133,0.055
3.486817,0.058
3.503500,0.038
3.520183,0.047
3.536867,0.024
3.553550,0.038
3.570233,0.031
3.586917,0.013
3.603600,0.023
3.620283,0.006
3.636967,0.014
3.653650,0.017
3.670333,0.021
3.687017,0.032
3.703700,0.067
3.720383,0.067
3.737067,0.024
3.753750,0.019
3.770433,0.001
3.787117,0.002
3.803800,0.041
3.820483,0.045
3.837167,0.067
3.853850,0.038
3.870533,0.002
3.887217,0.022
3.903900,0.045
3.920583,0.016
3.937267,0.006
3.953950,0.004
3.970633,0.028
3.987317,0.020
4.004000,0.036
4.020683,0.044
4.037367,0.053
4.054050,0.067
4.070733,0.033
4.087417,0.033
4.104100,0.014
4.120783,0.006
4.137467,0.032
4.154150,0.032
4.170833,0.072
4.187517,0.074
4.204200,0.095
4.220883,0.098
