0.000000,0.000,
0.033333,2.668
0.066667,0.006
0.100000,0.072
0.133333,0.008
0.166667,0.040
0.200000,0.041
0.233333,0.054
0.266667,0.016
0.300000,0.025
0.333333,0.032
0.366667,0.013
0.400000,0.107
0.433333,0.017
0.466667,0.043
0.500000,0.034
0.533333,0.005
0.566667,0.000
0.600000,0.016
0.633333,0.029
0.666667,0.036
0.700000,0.012
0.733333,0.025
0.766667,0.018
0.800000,0.087
0.833333,0.021
0.866667,0.050
0.900000,0.027
0.933333,0.007
0.966667,0.002
1.000000,0.017
1.033333,0.024
1.066667,0.045
1.100000,0.053
1.133333,0.048
1.166667,0.014
1.200000,0.110
1.233333,0.046
1.266667,0.065
1.300000,0.046
1.333333,0.011
1.366667,0.005
1.400000,0.005
1.433333,0.025
1.466667,0.031
1.500000,0.012
1.533333,0.023
1.566667,0.018
1.600000,0.124
1.633333,0.064
1.666667,0.080
1.700000,0.242
1.733333,0.047
1.766667,0.065
1.800000,0.002
1.833333,0.034
1.866667,0.044
1.900000,0.010
1.933333,0.026
1.966667,0.003
2.000000,0.127
2.033333,0.021
2.066667,0.023
2.100000,0.049
2.133333,0.021
2.166667,0.016
2.200000,0.002
2.233333,0.022
2.266667,0.028
2.300000,0.050
2.333333,0.036
2.366667,0.025
2.400000,0.087
2.433333,0.049
2.466667,0.020
2.500000,0.025
2.533333,0.003
2.566667,0.015
2.600000,0.034
2.633333,0.001
2.666667,0.028
2.700000,0.041
2.733333,0.017
2.766667,0.032
2.800000,0.079
2.833333,0.008
2.866667,0.083
2.900000,0.018
2.933333,0.012
2.966667,0.015
3.000000,0.009
3.033333,0.017
3.066667,0.002
3.100000,0.019
3.133333,0.017
3.166667,0.009
3.200000,0.099
3.233333,0.051
3.266667,0.007
3.300000,0.051
3.333333,0.000
3.366667,0.015
3.400000,0.003
3.433333,0.008
3.466667,0.008
3.500000,0.024
3.533333,0.015
3.566667,0.025
3.600000,0.100
3.633333,0.027
3.666667,0.048
3.700000,0.013
3.733333,0.010
3.766667,0.001
3.800000,0.006
3.833333,0.004
3.866667,0.014
3.900000,0.003
3.933333,0.043
3.966667,0.009
4.000000,0.071
4.033333,0.054
4.066667,0.009
4.100000,0.020
4.133333,0.032
4.166667,0.045
4.200000,0.028
4.233333,0.034
4.266667,0.040
4.300000,0.002
4.333333,0.021
4.366667,0.006
4.400000,0.056
4.433333,0.027
4.466667,0.050
4.500000,0.020
4.533333,0.029
4.566667,0.039
4.600000,0.051
4.633333,0.031
4.666667,0.039
4.700000,0.033
4.733333,0.015
4.766667,0.005
4.800000,0.061
4.833333,0.042
4.866667,0.046
4.900000,0.014
4.933333,0.001
4.966667,0.019
5.000000,0.079
5.033333,0.005
5.066667,0.035
5.100000,0.010
5.133333,0.062
5.166667,0.035
5.200000,0.024
5.233333,0.034
5.266667,0.000
5.300000,0.017
5.333333,0.018
5.366667,0.044
5.400000,0.020
5.433333,0.066
5.466667,0.035
5.500000,0.043
5.533333,0.076
5.566667,0.003
5.600000,0.030
5.633333,0.003
5.666667,0.035
5.700000,0.037
5.733333,0.040
5.766667,0.027
5.800000,0.000
5.833333,0.054
5.866667,0.011
5.900000,0.007
5.933333,0.013
5.966667,0.045
