0.000000,0.000,
0.033333,1.410
0.066667,0.303
0.100000,0.027
0.133333,0.062
0.166667,0.005
0.200000,0.291
0.233333,0.257
0.266667,0.039
0.300000,0.026
0.333333,0.055
0.366667,0.016
0.400000,0.171
0.433333,0.167
0.466667,0.011
0.500000,0.018
0.533333,0.032
0.566667,0.017
0.600000,0.005
0.633333,0.043
0.666667,0.024
0.700000,0.034
0.733333,0.003
0.766667,0.017
0.800000,0.161
0.833333,0.139
0.866667,0.027
0.900000,0.001
0.933333,0.015
0.966667,0.008
1.000000,0.016
1.033333,0.023
1.066667,0.012
1.100000,0.036
1.133333,0.020
1.166667,0.009
1.200000,0.169
1.233333,0.135
1.266667,0.004
1.300000,0.006
1.333333,0.016
1.366667,0.009
1.400000,0.029
1.433333,0.003
1.466667,0.020
1.500000,0.014
1.533333,0.020
1.566667,0.023
1.600000,0.184
1.633333,0.147
1.666667,0.037
1.700000,0.013
1.733333,0.026
1.766667,0.049
1.800000,0.007
1.833333,0.022
1.866667,0.004
1.900000,0.024
1.933333,0.008
1.966667,0.015
2.000000,0.184
2.033333,0.141
2.066667,0.006
2.100000,0.005
2.133333,0.002
2.166667,0.019
2.200000,0.001
2.233333,0.013
2.266667,0.016
2.300000,0.014
2.333333,0.019
2.366667,0.078
2.400000,0.177
2.433333,0.136
2.466667,0.002
2.500000,0.005
2.533333,0.003
2.566667,0.056
2.600000,0.035
2.633333,0.009
2.666667,0.039
2.700000,0.025
2.733333,0.032
2.766667,0.010
2.800000,0.196
2.833333,0.119
2.866667,0.003
2.900000,0.035
2.933333,0.019
2.966667,0.031
3.000000,0.001
3.033333,0.034
3.066667,0.008
3.100000,0.012
3.133333,0.041
3.166667,0.035
3.200000,0.297
3.233333,0.205
3.266667,0.013
3.300000,0.009
3.333333,0.012
3.366667,0.008
3.400000,0.008
3.433333,0.053
3.466667,0.036
3.500000,0.007
3.533333,0.020
3.566667,0.034
3.600000,0.257
3.633333,0.184
3.666667,0.046
3.700000,0.001
3.733333,0.009
3.766667,0.014
3.800000,0.009
3.833333,0.016
3.866667,0.029
3.900000,0.003
3.933333,0.001
3.966667,0.012
4.000000,0.298
4.033333,0.268
4.066667,0.020
4.100000,0.012
4.133333,0.059
4.166667,0.012
4.200000,0.027
4.233333,0.002
4.266667,0.015
4.300000,0.020
4.333333,0.020
4.366667,0.015
4.400000,0.262
4.433333,0.253
4.466667,0.036
4.500000,0.016
4.533333,0.009
4.566667,0.022
4.600000,0.000
4.633333,0.009
4.666667,0.001
4.700000,0.042
4.733333,0.011
4.766667,0.006
4.800000,0.297
4.833333,0.243
4.866667,0.008
4.900000,0.025
4.933333,0.004
4.966667,0.005
5.000000,0.031
5.033333,0.010
5.066667,0.001
5.100000,0.008
5.133333,0.002
5.166667,0.024
5.200000,0.343
5.233333,0.304
5.266667,0.015
5.300000,0.037
5.333333,0.043
5.366667,0.015
5.400000,0.012
5.433333,0.004
5.466667,0.024
5.500000,0.006
5.533333,0.008
5.566667,0.032
5.600000,0.292
5.633333,0.308
5.666667,0.004
5.700000,0.054
5.733333,0.036
5.766667,0.039
5.800000,0.049
5.833333,0.027
5.866667,0.015
5.900000,0.029
5.933333,0.027
5.966667,0.013
6.000000,0.325
6.033333,0.321
6.066667,0.054
6.100000,0.063
6.133333,0.002
6.166667,0.036
6.200000,0.005
6.233333,0.005
6.266667,0.004
6.300000,0.048
6.333333,0.039
6.366667,0.006
6.400000,0.359
6.433333,0.348
6.466667,0.028
6.500000,0.021
6.533333,0.021
6.566667,0.042
6.600000,0.034
6.633333,0.039
6.666667,0.056
6.700000,0.553
6.733333,0.649
6.766667,0.002
6.800000,0.317
6.833333,0.275
6.866667,0.018
6.900000,0.017
6.933333,0.017
6.966667,0.037
7.000000,0.022
7.033333,0.024
7.066667,0.023
7.100000,0.013
7.133333,0.040
7.166667,0.002
7.200000,0.297
7.233333,0.332
7.266667,0.008
7.300000,0.003
7.333333,0.074
7.366667,0.018
7.400000,0.014
7.433333,0.012
7.466667,0.008
7.500000,0.025
7.533333,0.013
7.566667,0.006
7.600000,0.308
7.633333,0.325
7.666667,0.061
7.700000,0.047
7.733333,0.020
7.766667,0.064
7.800000,0.087
7.833333,0.056
7.866667,0.054
7.900000,0.031
7.933333,0.025
7.966667,0.001
8.000000,0.233
8.033333,0.273
8.066667,0.001
8.100000,0.061
8.133333,0.011
8.166667,0.025
8.200000,0.016
8.233333,0.011
8.266667,0.018
8.300000,0.014
8.333333,0.031
8.366667,0.040
8.400000,0.213
8.433333,0.148
8.466667,0.058
8.500000,0.023
8.533333,0.031
8.566667,0.058
8.600000,0.069
8.633333,0.010
8.666667,0.011
8.700000,0.012
8.733333,0.001
8.766667,0.039
8.800000,0.209
8.833333,0.178
8.866667,0.021
8.900000,0.001
8.933333,0.006
8.966667,0.015
9.000000,0.013
9.033333,0.012
9.066667,0.036
9.100000,0.018
9.133333,0.035
9.166667,0.064
9.200000,0.115
9.233333,0.139
9.266667,0.020
9.300000,0.003
9.333333,0.024
9.366667,0.019
9.400000,0.061
9.433333,0.010
9.466667,0.018
9.500000,0.059
9.533333,0.025
9.566667,0.014
9.600000,0.174
9.633333,0.236
9.666667,0.065
9.700000,0.034
9.733333,0.055
9.766667,0.051
9.800000,0.026
9.833333,0.300
9.866667,0.030
9.900000,0.019
9.933333,0.023
9.966667,0.067
